app_name,publisher,platform,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,source_url,collected_at,source_kind
"AstroClub: Astrology & Tarot","Luni","ios","","Lifestyle","4.67027","11473","free","","","“I love how reading things on the AstroClub app feels like a conversation with a close friend.”

We curate the universe’s whispers, you get the juiciest bits.

AstroClub is where the cosmos meets self","","","https://apps.apple.com/us/app/astroclub-astrology-tarot/id1436937231?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astrology & Daily Horoscope!","ALDEMA","ios","","Reference","4.72077","7073","free","","","Daily Horoscope & Astrology - Hyper-Personalized Insights Based on Your Full Birth Chart

Stop reading generic horoscopes. Get accurate, personal guidance built on your complete Natal Chart - Sun, Moo","","","https://apps.apple.com/us/app/astrology-daily-horoscope/id1477593118?uo=4","2026-05-21T13:46:34.259Z","app_store"
"AstroBella Astrology Horoscope","Moonphase Apps GmbH","ios","","Lifestyle","4.81278","2767","free","","","AstroBella is not just an app; it's your personal astrological guide, crafted to bring the wisdom of the stars into your everyday life. Our mission is to empower you with the insights of astrology, he","","","https://apps.apple.com/us/app/astrobella-astrology-horoscope/id6468093061?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Cosmic Insights Astrology","GMan Labs","ios","","Utilities","4.76128","6405","free","","","Cosmic Insights is the world’s most comprehensive Vedic Astrology platform to generate your Kundali, Birth Chart, or Vedic Horoscope based on Indian Astrology aka Vedic Astrology, Hindu Astrology or J","","","https://apps.apple.com/us/app/cosmic-insights-astrology/id1184918628?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Time Nomad Astrology Charts","SEQFX PTY LTD","ios","","Lifestyle","4.77601","2710","paid","","","Time Nomad is a professional level astrology app and perhaps the most advanced astrology app available on iPhone and iPad.

Time Nomad is an advanced planetary positions calculator software that ensur","","","https://apps.apple.com/us/app/time-nomad-astrology-charts/id1092841332?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Futurio: Horoscope & Astrology","AIBY","ios","","Lifestyle","4.68945","33328","free","","","Your future is written in the stars, and Futurio helps you read it. It isn’t another astro app that gives empty predictions and vague horoscopes. It’s your reliable AI guide to real astrology, birth c","","","https://apps.apple.com/us/app/futurio-horoscope-astrology/id1334053681?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astrolis Horoscopes & Tarot","Horoscopes & Astrology","ios","","Lifestyle","4.81548","22465","free","","","Discover Your Personalized Daily Horoscope & Birth Chart
Astrolis delivers highly accurate, personalized astrology using the precise moment of your birth. Your birth chart reveals your Sun, Moon, and ","","","https://apps.apple.com/us/app/astrolis-horoscopes-tarot/id528953759?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astopia: Horoscope & Astrology","ORFETECH OU","ios","","Lifestyle","4.75253","1976","free","","","Every star, every planet in the sky is speaking to you, whispering messages from the universe, guiding your journey, and helping you understand your purpose.
Through a deeply personalized natal chart ","","","https://apps.apple.com/us/app/astopia-horoscope-astrology/id6444556814?uo=4","2026-05-21T13:46:34.259Z","app_store"
"AstroVeda: Your Astrology Guru","Whiterabbit Studio Pvt. Ltd.","ios","","Lifestyle","4.67462","922","free","","","AstroVeda Vedic Astrology is an astrology and astrologer app that provides personalized and authentic astrological services.

With AstroVeda, you can have access to the best future predictions and ast","","","https://apps.apple.com/us/app/astroveda-your-astrology-guru/id1273590638?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Moonly: Moon Phases & Calendar","Cosmic Vibrations, Inc.","ios","","Lifestyle","4.64208","31351","free","","","Moonly: your Personal Astrologer and Spiritual Guide

Life moves fast. Moonly helps you slow down, tune in, and reconnect — with yourself and the Universe. Your personal guide to astrology, moon phase","","","https://apps.apple.com/us/app/moonly-moon-phases-calendar/id1489889871?uo=4","2026-05-21T13:46:34.259Z","app_store"
"CUE Astrology","Cue","ios","","Lifestyle","4.76095","5459","free","","","Find Your Great with personalized astrology + numerology inside CUE.

CUE is a practical tool for timing, compatibility, and decision clarity. It transforms your birth chart, life path number, and cal","","","https://apps.apple.com/us/app/cue-astrology/id6499107303?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astrology Zone Horoscopes","Susan Miller Omni Media Inc.","ios","","Lifestyle","4.71439","34326","free","","","If you are looking for a daily horoscope app offering accurate daily and monthly horoscopes, compatibility reports, essays, and more, you have come to the right place.  Astrology Zone is an award-winn","","","https://apps.apple.com/us/app/astrology-zone-horoscopes/id527608193?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astrology Plus","Horoscope.com","ios","","Lifestyle","4.68079","6560","free","","","Welcome to Astrology+ – your all-in-one astrology companion. Dive deep into your birth chart, enjoy personalized daily, weekly, monthly, and annual horoscopes, receive daily tarot readings, explore ro","","","https://apps.apple.com/us/app/astrology-plus/id327586041?uo=4","2026-05-21T13:46:34.259Z","app_store"
