niche,package_id,app_name,developer,offers_iap,google_play_iap_range,min_installs,domain,requested_url,final_url,http_status,fetch_status,page_title,signal_tags,price_points_detected,price_point_count,paywall_signal_strength,text_excerpt,collected_at
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com","https://www.roblox.com/","200","ok","Roblox","no_pricing_signal","","0","low","Roblox Roblox is the ultimate virtual universe that lets you create, share experiences with friends, and be anything you can imagine. Join millions of people and discover an infinite variety of immersive experiences created by a global community!","2026-05-31T03:15:56.398Z"
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com/pricing","https://www.roblox.com/pricing","404","error:http_404","Roblox","no_pricing_signal","","0","low","Roblox Roblox is a global platform that brings people together through play. Charts Marketplace Create Charts Marketplace Create Something went wrong 404|Page Not found Back Home Close","2026-05-31T03:15:57.695Z"
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com/plans","https://www.roblox.com/plans","404","error:http_404","Roblox","no_pricing_signal","","0","low","Roblox Roblox is a global platform that brings people together through play. Charts Marketplace Create Charts Marketplace Create Something went wrong 404|Page Not found Back Home Close","2026-05-31T03:15:58.359Z"
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com/premium","https://www.roblox.com/premium","404","error:http_404","Roblox","no_pricing_signal","","0","low","Roblox Roblox is a global platform that brings people together through play. Charts Marketplace Create Charts Marketplace Create Something went wrong 404|Page Not found Back Home Close","2026-05-31T03:15:58.981Z"
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com/subscribe","https://www.roblox.com/subscribe","404","error:http_404","Roblox","no_pricing_signal","","0","low","Roblox Roblox is a global platform that brings people together through play. Charts Marketplace Create Charts Marketplace Create Something went wrong 404|Page Not found Back Home Close","2026-05-31T03:15:59.625Z"
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com/subscription","https://www.roblox.com/subscription","404","error:http_404","Roblox","no_pricing_signal","","0","low","Roblox Roblox is a global platform that brings people together through play. Charts Marketplace Create Charts Marketplace Create Something went wrong 404|Page Not found Back Home Close","2026-05-31T03:16:00.201Z"
"gaming","com.roblox.client","Roblox","Roblox Corporation","yes","$0.50 - $199.99 per item","1000000000","http://roblox.com","http://www.roblox.com/upgrade","https://www.roblox.com/upgrade","404","error:http_404","Roblox","no_pricing_signal","","0","low","Roblox Roblox is a global platform that brings people together through play. Charts Marketplace Create Charts Marketplace Create Something went wrong 404|Page Not found Back Home Close","2026-05-31T03:16:00.982Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/","https://www.igg.com/","200","ok","GAMERS AT HEART - Global Free Online Games Portal","paywall_language","","0","medium","GAMERS AT HEART - Global Free Online Games Portal Your portal to IGG's games. Sign In | Register | Logout HOME| GAMES| Mobile Games PC Games PAY| STORE| CAREERS| SUPPORT| CHARITY| IGG's hottest MMO War Strategy RPG! PLAY Become the strongest Commander, lead the survivors, and rebuild civilization! PLAY Race against other players to explore, build, and conquer Midgard! PLAY Beyond Just Surviving the Cold PLAY Realistic 3D dress-up game! Dress up and choose your destiny! PLAY Now with even more ex","2026-05-31T03:16:02.039Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com","https://www.igg.com/","200","ok","GAMERS AT HEART - Global Free Online Games Portal","paywall_language","","0","medium","GAMERS AT HEART - Global Free Online Games Portal Your portal to IGG's games. Sign In | Register | Logout HOME| GAMES| Mobile Games PC Games PAY| STORE| CAREERS| SUPPORT| CHARITY| IGG's hottest MMO War Strategy RPG! PLAY Become the strongest Commander, lead the survivors, and rebuild civilization! PLAY Race against other players to explore, build, and conquer Midgard! PLAY Beyond Just Surviving the Cold PLAY Realistic 3D dress-up game! Dress up and choose your destiny! PLAY Now with even more ex","2026-05-31T03:16:02.476Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/pricing","https://www.igg.com/pricing","404","error:http_404","IGG - Error 404: Page not found","no_pricing_signal","","0","low","IGG - Error 404: Page not found www.igg.com Sorry, Page not found You may have typed the web address incorrectly. Please check the address and spelling ensuring that it does not contain capital letters or spaces. It is possible that the page you were looking for may have been moved, updated or deleted. Return to igg.com Home Page. If you still encounter problems then please Contact us.","2026-05-31T03:16:02.810Z"
