app_name,publisher,platform,source_kind,source_bucket,source_url,niche,keyword,country,rank_position,app_store_id,bundle_id,category,rating,review_count,pricing_type,price_usd,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,audience_tags,monetization_notes,collected_at,evidence_quality,collection_status
"desktop_store_summary:coaching","","summary","desktop_store_source_summary","Mac App Store","https://itunes.apple.com/search?entity=macSoftware","coaching","","us|gb|ca|au","","","","summary","","","","","","","rows=1406; ok=1406; unique_apps=312; paid=92","top_categories=Productivity:874|Lifestyle:200|Health & Fitness:160|Education:59|Utilities:45","feature_tags=habit_or_goal_loop|avatar_or_identity|progression_benchmark:285|habit_or_goal_loop|mindfulness_or_reset|avatar_or_identity|progression_benchmark:269|habit_or_goal_loop|progression_benchmark:211|habit_or_goal_loop|avatar_or_identity:164|habit_or_goal_loop:113","","paid_rows=92","2026-05-31T07:08:25.446Z","medium_high","summary"
"desktop_store_summary:mindfulness","","summary","desktop_store_source_summary","Mac App Store","https://itunes.apple.com/search?entity=macSoftware","mindfulness","","us|gb|ca|au","","","","summary","","","","","","","rows=1645; ok=1645; unique_apps=389; paid=171","top_categories=Health & Fitness:808|Productivity:381|Lifestyle:272|Utilities:53|Games:41","feature_tags=habit_or_goal_loop|mindfulness_or_reset|avatar_or_identity|progression_benchmark:245|mindfulness_or_reset:240|mindfulness_or_reset|avatar_or_identity:181|habit_or_goal_loop|mindfulness_or_reset|avatar_or_identity:158|habit_or_goal_loop|mindfulness_or_reset|progression_benchmark:101","","paid_rows=171","2026-05-31T07:08:25.446Z","medium_high","summary"
"desktop_store_summary:avatar_identity","","summary","desktop_store_source_summary","Mac App Store","https://itunes.apple.com/search?entity=macSoftware","avatar_identity","","us|gb|ca|au","","","","summary","","","","","","","rows=1322; ok=1320; unique_apps=395; paid=176","top_categories=Photo & Video:294|Graphics & Design:232|Utilities:188|Games:172|Productivity:122","feature_tags=avatar_or_identity:629|avatar_or_identity|progression_benchmark:234|avatar_identity_adjacent:162|mindfulness_or_reset|avatar_or_identity:83|habit_or_goal_loop|avatar_or_identity|progression_benchmark:45","","paid_rows=176","2026-05-31T07:08:25.447Z","medium_high","summary"
"desktop_store_summary:astrology_esoterics","","summary","desktop_store_source_summary","Mac App Store","https://itunes.apple.com/search?entity=macSoftware","astrology_esoterics","","us|gb|ca|au","","","","summary","","","","","","","rows=1192; ok=1192; unique_apps=229; paid=468","top_categories=Lifestyle:509|Productivity:154|Entertainment:106|Education:95|Health & Fitness:92","feature_tags=symbolic_guidance:192|avatar_or_identity|symbolic_guidance:159|astrology_esoterics_adjacent:146|avatar_or_identity|symbolic_guidance|progression_benchmark:141|symbolic_guidance|progression_benchmark:122","","paid_rows=468","2026-05-31T07:08:25.447Z","medium_high","summary"
"desktop_store_summary:gaming_progression","","summary","desktop_store_source_summary","Mac App Store","https://itunes.apple.com/search?entity=macSoftware","gaming_progression","","us|gb|ca|au","","","","summary","","","","","","","rows=1377; ok=1375; unique_apps=446; paid=236","top_categories=Games:724|Productivity:305|Utilities:75|Entertainment:69|Health & Fitness:47","feature_tags=avatar_or_identity|progression_benchmark:285|habit_or_goal_loop|avatar_or_identity|progression_benchmark:213|habit_or_goal_loop|progression_benchmark:163|progression_benchmark:141|habit_or_goal_loop|mindfulness_or_reset|avatar_or_identity|progression_benchmark:106","","paid_rows=236","2026-05-31T07:08:25.448Z","medium_high","summary"
