part_number,file_path,row_count,first_universe_row_id,last_universe_row_id,sha256
"1","data_processed/cross_source_universe_raw_parts/part_001.csv","15000","66b078839cda","d9fe24fa9259","388be0deca7a34ae"
"2","data_processed/cross_source_universe_raw_parts/part_002.csv","15000","4674f2f14740","6c4d2ef2d185","5e1e76d633a2922b"
"3","data_processed/cross_source_universe_raw_parts/part_003.csv","15000","6e42deaa96ca","05d281070a76","f64319055c9d332c"
"4","data_processed/cross_source_universe_raw_parts/part_004.csv","15000","943378d899ca","59d22ed307a1","bf637e577469a346"
"5","data_processed/cross_source_universe_raw_parts/part_005.csv","7525","da8ca018c4c8","18a2a7155284","7433cde78070fc6f"
