market_id,ru_name,role_ru,total_cross_source_dedup_rows,direct_app_store_raw_rows,direct_app_store_dedup_rows,all_source_raw_rows,all_source_dedup_rows,top100_primary_competitors,manual_validation_targets,money_verdict,opportunity_band,direct_source_groups
"mindfulness","Mindfulness / reset","adjacent рынок для конкурентной карты","9,723","6,766","2,550","15,109","9,803","21","0","strong_directional_money_case","medium_opportunity_needs_sampling","mobile_app_store|desktop_store|google_play_or_android|browser_extension"
"avatar_identity","Avatar / identity","adjacent рынок для конкурентной карты","7,944","5,770","2,506","14,872","9,952","49","3","strong_directional_money_case","medium_opportunity_needs_sampling","mobile_app_store|desktop_store|google_play_or_android|browser_extension"
"astrology_esoterics","Astrology / esoterics","adjacent рынок для конкурентной карты","2,657","4,946","2,206","5,427","2,657","59","7","strong_directional_money_case","crowded_or_unclear_context","mobile_app_store|google_play_or_android|desktop_store|browser_extension"
"coaching","Coaching / self-improvement","adjacent рынок для конкурентной карты","3,857","6,200","2,651","7,671","3,857","50","8","medium_directional_money_case","crowded_or_unclear_context","mobile_app_store|desktop_store|google_play_or_android|browser_extension"
"gaming_progression","Gaming / progression benchmark","benchmark механик, не прямой TAM","14,304","6,494","3,204","24,446","16,875","8","0","benchmark_money_visible_not_direct_tam","mechanic_benchmark_not_primary_market","mobile_app_store|desktop_store|google_play_or_android|browser_extension"
