app_name,publisher,platform,source_kind,source_bucket,source_url,niche,keyword,tag_name,tag_id,page,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,audience_tags,monetization_notes,collected_at,evidence_quality,collection_status
"steam_deep_tag_summary:gaming","","summary","steam_deep_tag_source_summary","Steam","https://store.steampowered.com/search/results/","gaming","","","","","","","","","","","","rows=3058; ok=3000","","","","","2026-05-31T13:59:05.848Z","medium","summary"
"steam_deep_tag_summary:mindfulness","","summary","steam_deep_tag_source_summary","Steam","https://store.steampowered.com/search/results/","mindfulness","","","","","","","","","","","","rows=80; ok=0","","","","","2026-05-31T13:59:05.848Z","medium","summary"
"steam_deep_tag_summary:avatar_identity","","summary","steam_deep_tag_source_summary","Steam","https://store.steampowered.com/search/results/","avatar_identity","","","","","","","","","","","","rows=3042; ok=3000","","","","","2026-05-31T13:59:05.848Z","medium","summary"
